[2024-02-14 09:47:26,191: INFO: main: welcome to our logs]
[2024-02-14 15:41:43,644: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-14 15:41:43,645: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-14 15:41:43,646: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-14 15:41:43,647: INFO: common: created directory at: artifacts]
[2024-02-14 15:41:43,648: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-14 15:41:43,649: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-14 15:44:47,438: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-14 15:44:48,154: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
